iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
1985 195 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 61.85 21.74 101.32 0 0.0 -999.0 335.95 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 65.16 20.89 101.32 0 0.0 -999.0 331.84 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 68.68 20.04 101.32 0 0.0 -999.0 327.77 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 72.42 19.19 101.32 0 0.0 -999.0 323.74 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 74.37 18.76 101.32 0 0.0 -999.0 321.74 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 76.38 18.34 101.32 0 0.0 -999.0 319.74 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 70.93 19.52 101.32 0 43.44 -999.0 325.31 0.17 -999.0 -999.0 -999.0 26.85 120.66 0
1985 195 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 62.78 21.5 101.32 0 188.25 -999.0 334.76 0.17 -999.0 -999.0 -999.0 71.71 381.61 0
1985 195 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 54.97 23.69 101.32 0 356.48 -999.0 345.46 0.17 -999.0 -999.0 -999.0 100.6 543.03 0
1985 195 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 48.22 25.88 101.32 0 517.36 -999.0 356.44 0.17 -999.0 -999.0 -999.0 120.2 637.41 0
1985 195 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 42.71 27.95 101.32 0 654.68 -999.0 367.01 0.17 -999.0 -999.0 -999.0 133.92 693.8 0
1985 195 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 38.39 29.79 101.32 0 757.12 -999.0 376.64 0.17 -999.0 -999.0 -999.0 143.06 726.71 0
1985 195 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 35.13 31.34 101.32 0 816.84 -999.0 384.89 0.17 -999.0 -999.0 -999.0 148.07 743.22 0
1985 195 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 32.82 32.54 101.32 0 829.39 -999.0 391.39 0.17 -999.0 -999.0 -999.0 149.1 746.48 0
1985 195 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 31.33 33.37 101.32 0 793.85 -999.0 395.91 0.17 -999.0 -999.0 -999.0 146.16 737.07 0
1985 195 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 30.56 33.82 101.32 0 712.81 -999.0 398.34 0.17 -999.0 -999.0 -999.0 139.2 713.25 0
1985 195 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 30.45 33.88 101.32 0 592.37 -999.0 398.69 0.17 -999.0 -999.0 -999.0 127.94 670.26 0
1985 195 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 31.3 33.39 101.32 0 441.97 -999.0 395.98 0.17 -999.0 -999.0 -999.0 111.63 598.04 0
1985 195 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 33.14 32.37 101.32 0 274.92 -999.0 390.46 0.17 -999.0 -999.0 -999.0 88.18 476.09 0
1985 195 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 35.89 30.96 101.32 0 111.97 -999.0 382.88 0.17 -999.0 -999.0 -999.0 52.32 266.72 0
1985 195 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 39.23 29.41 101.32 0 5.43 -999.0 374.66 0.17 -999.0 -999.0 -999.0 4.59 14.11 0
1985 195 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 42.88 27.88 101.32 0 0.0 -999.0 366.67 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 46.91 26.35 101.32 0 0.0 -999.0 358.8 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 51.39 24.81 101.32 0 0.0 -999.0 351.06 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
1985 196 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.47 56.34 23.28 101.32 0 0.0 -999.0 343.44 0.17 -999.0 -999.0 -999.0 0.0 0.0 0
