iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
1985 195 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 55.07 23.39 101.32 0 0.0 -999.0 344.95 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 58.03 22.53 101.32 0 0.0 -999.0 340.7 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 61.16 21.67 101.32 0 0.0 -999.0 336.5 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 64.49 20.8 101.32 0 0.0 -999.0 332.33 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 66.23 20.37 101.32 0 0.0 -999.0 330.26 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 68.03 19.94 101.32 0 0.0 -999.0 328.2 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 63.16 21.14 101.32 0 43.18 -999.0 333.96 0.15 -999.0 -999.0 -999.0 26.68 119.93 0
1985 195 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 55.91 23.15 101.32 0 187.11 -999.0 343.72 0.15 -999.0 -999.0 -999.0 71.27 379.29 0
1985 195 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 48.94 25.36 101.32 0 354.31 -999.0 354.79 0.15 -999.0 -999.0 -999.0 99.99 539.73 0
1985 195 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 42.93 27.59 101.32 0 514.21 -999.0 366.14 0.15 -999.0 -999.0 -999.0 119.47 633.53 0
1985 195 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 38.02 29.68 101.32 0 650.7 -999.0 377.07 0.15 -999.0 -999.0 -999.0 133.1 689.58 0
1985 195 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 34.17 31.55 101.32 0 752.51 -999.0 387.04 0.15 -999.0 -999.0 -999.0 142.19 722.29 0
1985 195 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 31.28 33.12 101.32 0 811.87 -999.0 395.57 0.15 -999.0 -999.0 -999.0 147.17 738.7 0
1985 195 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 29.21 34.34 101.32 0 824.34 -999.0 402.29 0.15 -999.0 -999.0 -999.0 148.19 741.94 0
1985 195 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 27.88 35.18 101.32 0 789.02 -999.0 406.98 0.15 -999.0 -999.0 -999.0 145.27 732.58 0
1985 195 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 27.2 35.63 101.32 0 708.48 -999.0 409.49 0.15 -999.0 -999.0 -999.0 138.35 708.92 0
1985 195 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 27.11 35.69 101.32 0 588.77 -999.0 409.85 0.15 -999.0 -999.0 -999.0 127.16 666.19 0
1985 195 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 27.86 35.19 101.32 0 439.28 -999.0 407.05 0.15 -999.0 -999.0 -999.0 110.95 594.4 0
1985 195 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 29.5 34.17 101.32 0 273.24 -999.0 401.33 0.15 -999.0 -999.0 -999.0 87.64 473.19 0
1985 195 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 31.95 32.74 101.32 0 111.29 -999.0 393.49 0.15 -999.0 -999.0 -999.0 52.0 265.1 0
1985 195 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 34.92 31.17 101.32 0 5.4 -999.0 384.99 0.15 -999.0 -999.0 -999.0 4.56 14.03 0
1985 195 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 38.17 29.61 101.32 0 0.0 -999.0 376.72 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 41.77 28.06 101.32 0 0.0 -999.0 368.58 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 45.75 26.5 101.32 0 0.0 -999.0 360.57 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
1985 196 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.56 50.17 24.95 101.32 0 0.0 -999.0 352.7 0.15 -999.0 -999.0 -999.0 0.0 0.0 0
