iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
1985 195 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 49.02 25.65 101.32 0 0.0 -999.0 359.98 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 1 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 51.62 24.78 101.32 0 0.0 -999.0 355.58 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 2 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 54.37 23.91 101.32 0 0.0 -999.0 351.21 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 3 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 57.29 23.05 101.32 0 0.0 -999.0 346.89 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 4 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 58.82 22.61 101.32 0 0.0 -999.0 344.75 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 5 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 60.39 22.18 101.32 0 0.0 -999.0 342.61 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 6 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 56.13 23.39 101.32 0 43.05 -999.0 348.58 0.13 -999.0 -999.0 -999.0 26.6 119.55 0
1985 195 7 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 49.76 25.4 101.32 0 186.52 -999.0 358.7 0.13 -999.0 -999.0 -999.0 71.05 378.11 0
1985 195 8 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 43.64 27.63 101.32 0 353.21 -999.0 370.18 0.13 -999.0 -999.0 -999.0 99.68 538.05 0
1985 195 9 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 38.34 29.86 101.32 0 512.61 -999.0 381.94 0.13 -999.0 -999.0 -999.0 119.1 631.56 0
1985 195 10 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 34.01 31.96 101.32 0 648.67 -999.0 393.27 0.13 -999.0 -999.0 -999.0 132.69 687.43 0
1985 195 11 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 30.61 33.83 101.32 0 750.17 -999.0 403.59 0.13 -999.0 -999.0 -999.0 141.74 720.04 0
1985 195 12 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 28.05 35.41 101.32 0 809.34 -999.0 412.42 0.13 -999.0 -999.0 -999.0 146.71 736.4 0
1985 195 13 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 26.22 36.64 101.32 0 821.78 -999.0 419.39 0.13 -999.0 -999.0 -999.0 147.73 739.63 0
1985 195 14 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 25.04 37.48 101.32 0 786.56 -999.0 424.24 0.13 -999.0 -999.0 -999.0 144.82 730.3 0
1985 195 15 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 24.44 37.93 101.32 0 706.27 -999.0 426.84 0.13 -999.0 -999.0 -999.0 137.92 706.71 0
1985 195 16 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 24.36 37.99 101.32 0 586.93 -999.0 427.21 0.13 -999.0 -999.0 -999.0 126.77 664.11 0
1985 195 17 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 25.03 37.49 101.32 0 437.91 -999.0 424.32 0.13 -999.0 -999.0 -999.0 110.61 592.55 0
1985 195 18 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 26.47 36.46 101.32 0 272.39 -999.0 418.4 0.13 -999.0 -999.0 -999.0 87.37 471.72 0
1985 195 19 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 28.65 35.03 101.32 0 110.94 -999.0 410.27 0.13 -999.0 -999.0 -999.0 51.84 264.27 0
1985 195 20 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 31.27 33.45 101.32 0 5.38 -999.0 401.47 0.13 -999.0 -999.0 -999.0 4.54 13.98 0
1985 195 21 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 34.14 31.89 101.32 0 0.0 -999.0 392.9 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 22 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 37.32 30.33 101.32 0 0.0 -999.0 384.46 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 195 23 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 40.83 28.77 101.32 0 0.0 -999.0 376.17 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
1985 196 0 0 -999.0 -999.0 -999.0 -999.0 -999.0 2.65 44.71 27.21 101.32 0 0.0 -999.0 368.01 0.13 -999.0 -999.0 -999.0 0.0 0.0 0
